Unnamed: 0,Rainfall,Temperature,ER,BF,QF,SF,ER_PIML_simulated,BF_PIML_simulated,QF_PIML_simulated,SF_PIML_Simulated
1980-01-01,0.0,22.383799991607667,0.0,0.0,0.1133274951123749,0.1133274951123749,0.07632075970462715,0.0,0.0,0.0
1980-01-02,0.0123915552323413,22.68719995498657,0.0,0.0002738599246876,0.1109317111599612,0.1112055710846488,0.07944010793257306,0.0,0.0,0.0
1980-01-03,0.1375303789623466,22.11339988708496,0.0,0.0005358564388441,0.1072355481272478,0.107771404566092,0.03446760282192152,0.0,0.0,0.0
1980-01-04,0.6318766500958255,22.288000106811523,0.0,0.0007889561449683,0.1046930040754191,0.1054819602203874,-0.05397269584396014,0.0,0.0,0.0
1980-01-05,1.3410632754260663,21.612800064086912,0.0,0.001011542426761,0.0933582367010604,0.0943697791278214,-0.09270131955269711,0.0,0.0,0.0
1980-01-06,1.6575109510214676,21.028599872589112,0.0,0.0012150922227442,0.0865488023661297,0.0877638945888739,-0.06712468557292084,0.0,0.0,0.0
1980-01-07,0.216961104125484,20.314599990844727,0.0,0.0014285278126301,0.091377728347393,0.0928062561600232,0.03455877249425754,0.0,0.0,0.0
1980-01-08,0.0,21.02619995117188,0.0,0.0016252822178849,0.0854852831308733,0.0871105653487583,0.06743206781224664,0.0,0.0,0.0
1980-01-09,0.0,21.29580005645752,0.0,0.0018167703428853,0.0841490728330206,0.085965843175906,0.06454848689532788,0.0,0.0,0.0
1980-01-10,0.0,21.688999996185306,0.0,0.0020096583808564,0.0854917877098514,0.0875014460907078,0.06506621331658202,0.0,0.0,0.0
1980-01-11,0.0,22.33699998855591,0.0,0.0022132111415549,0.0905930450184683,0.0928062561600232,0.07532126997500299,0.1559208482503891,-0.014341920614242554,0.14157892763614655
1980-01-12,0.0371436792220308,23.26,0.0,0.0024040560436013,0.0862700322729551,0.0886740883165565,0.08366605541705496,0.14747664332389832,-0.01455599069595337,0.13292065262794495
1980-01-13,0.1405522258069033,22.867200050354004,0.0,0.0025643436370978,0.0746653149562355,0.0772296585933334,0.049053720879665974,0.1273316591978073,-0.017444640398025513,0.1098870187997818
1980-01-14,0.0049512103514772,22.71980005264282,0.0,0.0027202929499223,0.0735572918362339,0.0762775847861563,0.08227673694367432,0.13516977429389954,-0.018631786108016968,0.11653798818588257
1980-01-15,0.0026251098639528,22.91740001678467,0.0,0.0028612799486469,0.0681282467999917,0.0709895267486387,0.0871135949092654,0.14143240451812744,-0.02269798517227173,0.11873441934585571
1980-01-16,0.0,22.746000022888182,0.0,0.0030073478139717,0.0707574322025088,0.0737647800164805,0.0842680341496358,0.1354999542236328,-0.027063816785812378,0.10843613743782043
1980-01-17,0.0009538721590534,22.819999980926514,0.0,0.0031410790328844,0.0663519328751474,0.0694930119080318,0.08557593474344571,0.13537122309207916,-0.03069630265235901,0.10467492043972015
1980-01-18,0.0,23.19859992980957,0.0,0.0032741095011088,0.0666097831488725,0.0698838926499814,0.09309569597471956,0.13107392191886902,-0.028394192457199097,0.10267972946166992
1980-01-19,0.0,23.16680000305176,0.0,0.0034222620904272,0.0732741234906749,0.0766963855811022,0.09255767837310636,0.12351597845554352,-0.02533721923828125,0.09817875921726227
1980-01-20,0.051106378645964,23.26340003967285,0.0,0.0035654091238182,0.0718466540194497,0.075412063143268,0.07989767032316131,0.1262175291776657,-0.021611928939819336,0.10460560023784637
1980-01-21,0.0,23.659399909973143,0.0,0.0037142702263695,0.0747410786935057,0.0784553489198752,0.09907943466414793,0.12674234807491302,-0.01761046051979065,0.10913188755512238
1980-01-22,0.0,23.882200107574462,0.0,0.0038689805979765,0.0777134142574952,0.0815823948554717,0.10073085195133302,0.11832576245069504,-0.014662295579910278,0.10366346687078476
1980-01-23,0.0,23.75239994049072,0.0,0.0040122781855008,0.0737171493564681,0.0777294275419689,0.0998632472471428,0.11728819459676743,-0.016784459352493286,0.10050373524427414
1980-01-24,0.0,22.59740001678467,0.0,0.0041550998216559,0.0741048087272445,0.0782599085489004,0.081010217581035,0.121999591588974,-0.017724692821502686,0.10427489876747131
1980-01-25,0.0,22.647399997711183,0.0,0.0042810872129083,0.0678643297297812,0.0721454169426895,0.08211399881017734,0.138231098651886,-0.016465723514556885,0.1217653751373291
1980-01-26,0.0,23.27420007705689,0.0,0.0044005295493332,0.0657234755564171,0.0701240051057504,0.09431353257964048,0.13696731626987457,-0.015907377004623413,0.12105993926525116
1980-01-27,0.0,23.87039995193481,0.0,0.0045071069431968,0.0609961293916498,0.0655032363348467,0.10066246237549414,0.1286744475364685,-0.013843417167663574,0.11483103036880493
1980-01-28,0.0,23.894599971771243,0.0,0.0045950937926452,0.0538974172348062,0.0584925110274514,0.10080052805891349,0.11872901022434235,-0.011114716529846191,0.10761429369449615
1980-01-29,0.0,23.066399936676028,0.0,0.0046852866055294,0.0551473869657491,0.0598326735712785,0.09076477271308292,0.12167192995548248,-0.010334521532058716,0.11133740842342377
1980-01-30,0.0,21.651599960327147,0.0,0.0047811645611963,0.0578155942567254,0.0625967588179218,0.06478980726846295,0.13914167881011963,-0.008876800537109375,0.13026487827301025
1980-01-31,0.0,21.763200130462646,0.0,0.0048769501001912,0.0581665295656728,0.0630434796658641,0.06574202913776439,0.15887653827667236,-0.007684648036956787,0.15119189023971558
1980-02-01,0.0,22.91259986877441,0.0,0.0049836455238775,0.0629737634693525,0.06795740899323,0.08777101556270672,0.16231507062911987,-0.008205711841583252,0.15410935878753662
